user_id,user_gender,user_age,buy_count,cheese_texture,cheese_one_price,age_group,cheese_category_code,cheese_texture_code
4339194,1,40,1,후레쉬치즈,"7,900원",2.0,11,1
1130666,1,50,1,후레쉬치즈,"7,900원",3.0,11,1
3703759,1,30,1,후레쉬치즈,"6,800원",1.0,1,1
702800,1,30,4,후레쉬치즈,"15,900원",1.0,1,1
4600423,1,20,2,후레쉬치즈,"6,800원",,1,1
1126584,1,30,1,후레쉬치즈,"6,800원",1.0,1,1
6292395,1,30,1,후레쉬치즈,"5,500원",1.0,1,1
1602739,1,20,1,후레쉬치즈,"6,240원",,1,1
4356158,1,40,2,소프트치즈,"4,165원",2.0,8,4
6483554,1,40,1,세미하드치즈,"5,500원",2.0,10,2
746985,1,10,4,후레쉬치즈,"3,990원",,1,1
5286113,1,30,1,후레쉬치즈,"3,870원",1.0,1,1
3523499,1,30,1,하드치즈,"7,900원",1.0,5,3
2436390,1,30,1,후레쉬치즈,"3,990원",1.0,1,1
1938002,1,40,1,후레쉬치즈,"6,800원",2.0,1,1
5670706,1,40,1,후레쉬치즈,"4,600원",2.0,1,1
3202390,1,30,5,후레쉬치즈,"14,900원",1.0,11,1
3125262,1,40,1,후레쉬치즈,"3,990원",2.0,1,1
93682,1,40,10,세미하드,"4,900원",2.0,4,2
344882,0,50,1,후레쉬치즈,"3,870원",3.0,1,1
1477200,1,20,1,소프트치즈,"4,165원",,8,4
3805164,1,50,10,후레쉬치즈,"6,800원",3.0,1,1
595404,1,40,1,후레쉬치즈,"15,900원",2.0,1,1
5732335,0,20,1,후레쉬치즈,"14,900원",,11,1
2997253,1,30,1,후레쉬치즈,"3,900원",1.0,1,1
1143177,1,40,1,후레쉬치즈,"7,900원",2.0,11,1
1078103,1,30,1,후레쉬치즈,"14,900원",1.0,11,1
4418749,0,40,3,후레쉬치즈,"7,900원",2.0,11,1
2515264,1,40,1,후레쉬치즈,"4,600원",2.0,3,1
2189526,1,30,1,후레쉬치즈,"4,600원",1.0,3,1
2432218,1,40,3,하드치즈,"7,900원",2.0,5,3
1941608,1,20,1,후레쉬치즈,"3,870원",,1,1
5250117,1,40,1,후레쉬치즈,"7,900원",2.0,11,1
2297370,1,20,1,소프트치즈,"4,165원",,8,4
1394378,1,40,1,후레쉬치즈,"6,240원",2.0,1,1
5753199,1,30,1,후레쉬치즈,"6,800원",1.0,1,1
704313,1,40,1,후레쉬치즈,"6,860원",2.0,3,1
3850599,1,30,1,후레쉬치즈,"6,800원",1.0,1,1
5790462,1,40,4,후레쉬치즈,"3,990원",2.0,1,1
5334389,1,40,2,후레쉬치즈,"8,240원",2.0,3,1
6125942,1,30,1,후레쉬치즈,"14,900원",1.0,11,1
4994783,1,30,1,소프트치즈,"4,165원",1.0,8,4
4800446,1,20,1,후레쉬치즈,"8,900원",,3,1
6007855,0,40,1,소프트치즈,"6,400원",2.0,2,4
5449392,1,40,1,후레쉬치즈,"15,900원",2.0,1,1
716316,1,40,5,후레쉬치즈,"3,870원",2.0,1,1
6299916,1,40,2,후레쉬치즈,"3,870원",2.0,1,1
5090910,1,30,1,후레쉬치즈,"9,600원",1.0,1,1
6251929,1,30,1,하드치즈,"7,900원",1.0,5,3
182990,1,40,1,소프트치즈,"5,130원",2.0,8,4
3454276,0,30,1,후레쉬치즈,"4,600원",1.0,3,1
5494685,1,30,1,후레쉬치즈,"7,900원",1.0,11,1
2507455,1,40,1,하드치즈,"5,900원",2.0,5,3
195345,1,40,1,후레쉬치즈,"15,900원",2.0,1,1
1019497,1,30,1,후레쉬치즈,"14,900원",1.0,11,1
718880,1,30,1,소프트치즈,"4,165원",1.0,8,4
4810467,1,30,1,후레쉬치즈,"3,990원",1.0,1,1
2553673,1,30,1,후레쉬치즈,"3,900원",1.0,1,1
335581,1,30,1,소프트치즈,"5,130원",1.0,7,4
2921063,0,30,1,후레쉬치즈,"4,600원",1.0,1,1
4561082,1,30,3,소프트치즈,"4,165원",1.0,8,4
822858,0,40,1,소프트치즈,"4,165원",2.0,8,4
4038209,0,30,1,후레쉬치즈,"4,600원",1.0,3,1
4213436,1,30,1,후레쉬치즈,"3,870원",1.0,1,1
2539531,1,30,1,소프트치즈,"4,165원",1.0,8,4
4602969,1,30,1,후레쉬치즈,"6,240원",1.0,1,1
3035929,1,40,1,소프트치즈,"4,165원",2.0,8,4
6441940,1,40,2,소프트치즈,"4,165원",2.0,8,4
6053223,1,40,1,후레쉬치즈,"7,900원",2.0,11,1
6254861,0,30,1,하드치즈,"7,200원",1.0,10,3
1323142,1,30,1,후레쉬치즈,"3,870원",1.0,1,1
2805034,1,30,1,후레쉬치즈,"3,900원",1.0,1,1
5654895,1,40,1,후레쉬치즈,"3,870원",2.0,1,1
2131979,1,30,1,소프트치즈,"8,400원",1.0,8,4
3622135,1,20,2,후레쉬치즈,"3,990원",,1,1
5901544,1,30,1,세미하드치즈,"5,500원",1.0,10,2
5196438,1,40,20,후레쉬치즈,"4,600원",2.0,3,1
4792699,1,30,1,후레쉬치즈,"14,900원",1.0,11,1
319660,1,50,1,후레쉬치즈,"3,990원",3.0,1,1
5692732,1,30,1,후레쉬치즈,"3,900원",1.0,1,1
